rank,sequenza,gruppo_ciclo,lunghezza_ciclo_turni,lunghezza_ciclo_trick,transitorio_turni
10250747427146,0000000203100000010020230203000100300010,1,546,84,20
11646338373896,0000000302100000010020230203000100300010,1,546,84,20
11751274905176,0000000303100000010020220203000100300010,1,546,84,20
13099237281751,0000001002030203031000100300010020000200,1,546,84,0
13216723650751,0000001003020203031000100300010020000200,1,546,84,0
13226747758691,0000001003030202031000100300010020000200,1,546,84,0
15961396107176,0000002031000000100320200203000100300010,1,546,84,19
18057035903426,0000003021000000100320200203000100300010,1,546,84,19
18211387882676,0000003031000000100220200203000100300010,1,546,84,19
19325459755353,0000010000021000000031003100302020000302,1,546,84,10
19380580928083,0000010000031000000031003100202020000302,1,546,84,10
19380580928952,0000010000031000000031003100302020000202,1,546,84,10
24564091764041,0000021000000100303002203000100300010020,1,546,84,13
27868314960161,0000031000000100203002203000100300010020,1,546,84,13
27868532558801,0000031000000100302002203000100300010020,1,546,84,13
30783992698480,0000100203020303100001030001002000020000,1,546,84,10
31036917097480,0000100302020303100001030001002000020000,1,546,84,10
31057524984780,0000100303020203100001030001002000020000,1,546,84,10
37074997238021,0000210000001003030202003000100300010020,1,546,84,12
41893647485201,0000310000001002030202003000100300010020,1,546,84,12
41893972797881,0000310000001003020202003000100300010020,1,546,84,12
45961593371561,0001002000020000000100203020303100000310,1,546,84,8
45961596164351,0001002000020000000100302020303100000310,1,546,84,8
45961596540881,0001002000020000000100303020203100000310,1,546,84,8
46374936088023,0001003000100200002000000010020302030310,1,546,84,8
46374936093483,0001003000100200002000000010030202030310,1,546,84,8
46374936094341,0001003000100200002000000010030302020310,1,546,84,8
50561702149152,0002000000010000021003031000003100302020,1,546,84,11
50562456247392,0002000000010000031002031000003100302020,1,546,84,11
50562463018410,0002000000010000031003031000003100202020,1,546,84,11
68277305259757,0010020302030310000013000100200002000000,1,546,84,6
68792701959757,0010030202030310000013000100200002000000,1,546,84,6
68832829765657,0010030302020310000013000100200002000000,1,546,84,6
70552965893752,0010300010020000200000001002030203031000,1,546,84,11
70552965911692,0010300010020000200000001003020203031000,1,546,84,11
70552965914287,0010300010020000200000001003030202031000,1,546,84,11
74705603509960,0020000001000002100030310000310030202000,1,546,84,18
74707601239120,0020000001000003100020310000310030202000,1,546,84,18
74707611944568,0020000001000003100030310000310020202000,1,546,84,18
78468759318682,0020030001003000100200002100000010030302,1,546,84,13
78468759408766,0020030001003000100200003100000010020302,1,546,84,13
78468759408775,0020030001003000100200003100000010030202,1,546,84,13
80719964875415,0020302030310000031000100200002000000010,1,546,84,0
80799127395533,0020310000031003020200020000000100000310,1,546,84,12
82602404220256,0022030001003000100200000210000001003030,1,546,84,14
82602404230615,0022030001003000100200000310000001002030,1,546,84,14
82602404230618,0022030001003000100200000310000001003020,1,546,84,14
90016849133615,0030202030310000031000100200002000000010,1,546,84,0
90672286479815,0030302020310000031000100200002000000010,1,546,84,0
90725350423793,0030310000031002020200020000000100000310,1,546,84,12
90725354385518,0030310000031003020200020000000100000210,1,546,84,12
91417829789819,0031003100202020000320000100000310000000,1,546,84,12
91418049556799,0031003100302020000220000100000310000000,1,546,84,12
91418049588776,0031003100302020000320000100000210000000,1,546,84,12
95515848331474,0100000200000001000020203031000003100302,1,546,84,8
95515884910744,0100000200000001000030202031000003100302,1,546,84,8
95515885301161,0100000200000001000030203031000003100202,1,546,84,8
105094392056848,0120000200000001000020020303100000310030,1,546,84,9
105094398954193,0120000200000001000030020203100000310030,1,546,84,9
105094398999023,0120000200000001000030020303100000310020,1,546,84,9
106658499216597,0130001002000020000000100203020303100000,1,546,84,7
106658499263567,0130001002000020000000100302020303100000,1,546,84,7
106658499269703,0130001002000020000000100303020203100000,1,546,84,7
116075579210471,0202002030001003000100000020310000001003,1,546,84,20
116075579217236,0202002030001003000100000030210000001003,1,546,84,20
116075579217731,0202002030001003000100000030310000001002,1,546,84,20
116415376205323,0202202030001003000100000003031000000100,1,546,84,21
116490137494283,0202302030001003000100000002031000000100,1,546,84,21
116490137494943,0202302030001003000100000003021000000100,1,546,84,21
117324171726559,0203100003100302020000200000010000031000,1,546,84,19
